,Solute SMILES,Solvent SMILES,pKa (avg),pKa (all),Source,,,,,,
13439,CC1=Nc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc2C12CCCC2,O,8.19,[8.19],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13440,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1,O,8.925,"[8.5, 9.35]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13441,O=C(C[NH+]1CCCCC1)Nc1ccccc1,O,7.89,[7.89],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13442,CO[C@H]1C(=O)N2C(C(=O)c3ccccc3)=C(C)C(Sc3nnnn3C)S(=O)(=O)[C@H]12,O,4.8,[4.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13443,O=C([O-])CC(c1ccccc1)(c1ccccc1)c1ccccc1,O,6.84,[6.84],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13444,CCCCCCOc1ccc(C(=O)OCC[NH+](CC)CC)cc1,O,8.95,[8.95],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13445,Cc1cc(C)nc(Nc2cc(N[C@@H]3CS(=O)(=O)CC[C@@H]3N)cnc2C(N)=O)c1,O,7,[7.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13446,O=[N+]([O-])c1cccc2[nH]ncc12,O,0.42,[0.42],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13447,CCN(CC)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O,0.18,[0.18],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13448,CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@@H](C)[C@@H](O)[C@]1(C)O,O,9.27,[9.27],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
13449,Cc1cccc(C)c1N=C1NCCN1,O,10.52,"[10.53, 10.5, 10.53]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13450,COc1ccc(N(Cc2nnn[nH]2)Cc2ccc(Cl)cc2Cl)cc1,O,4.29,[4.29],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13451,O=C1C[C@@H](C(=O)O)[C@@H](C(=O)O)O1,O,2.26,[2.26],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13452,O=C([O-])[C@H](NCCN[C@@H](C(=O)[O-])c1ccccc1[O-])c1ccccc1[O-],O,12.05,[12.05],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13453,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2c(C)cccc12,O,7.39,[7.39],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13454,O=[N+]([O-])c1cc(C[NH+]2CCOCC2)c(O)c2ccccc12,O,3,[3.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13455,CC(=O)CC(C)=O,O,8.85,[8.85],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13456,O=C([O-])c1cc(=O)c2cc3c(cc2o1)CCCC3,O,1.65,[1.65],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13457,Nc1cc(/C=C/c2ccccc2)nc2ccccc12,O,9.3,[9.3],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13458,CC[NH+](CC)CCN=C(c1ccccc1C)c1ccccc1C,O,2.8,[2.8],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13459,CC(=O)c1cc(C(C)=O)[nH]n1,O,8.98,[8.98],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13460,CCCCn1cnc2ccccc21,O,5.3,"[5.31, 5.29]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13461,CN1C2CCC1CC(NC(=O)N1CC(C)(C)c3ccccc31)C2,O,9.4,[9.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13462,CSC(=O)C1c2ccccc2-c2ccccc21,O,10.51,[10.51],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13463,COc1cccc2c1[C@H](Oc1cc(C(=O)N(C)C)cn3c(C)c(C)nc13)[C@@H](O)C2,O,6.27,[6.27],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13464,NCCCCCCCCCC(=O)[O-],O,11.01,[11.01],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13465,CN1CCCN(c2nc(NC3CCN(Cc4ccccc4)CC3)c3ccccc3n2)CC1,O,8.06,[8.06],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13466,O=C(Nc1ccc(F)cc1)C1=C(O)C(CCc2ccccc2)NC1=O,O,3,[3.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13467,Cl.O=[N+]([O-])c1ncn(CCCNCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,O,9.44,[9.44],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13468,O=[N+]([O-])c1ccc2[nH]c(-c3cccs3)nc2c1,O,2.36,[2.36],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13469,Cc1cccc2cc3ccccc3nc12,O,4.5,[4.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13470,O=C1NS(=O)(=O)Nc2[nH]ncc21,O,6.5,[6.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13471,Oc1cccc2cc(O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)ccc12,O,9.17,[9.17],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13472,C[n+]1cc(O)ccn1,O,1.74,[1.74],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13473,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(CCCCN)n1,O,10,[10.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13474,CCCP(=O)(O)CCC,O,3.33,[3.33],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13475,Cn1c([O-])nc2nc[nH]c2c1=O,O,11.9,[11.9],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13476,CCOP(=O)(OCC)C(NCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1)C(C)C.[Br-],O,6.23,[6.23],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13477,CC(C)(C)c1cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)ccc1O,O,10.62,[10.62],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13478,CCCN1C=CC(=CC=C2C=CC(=O)C=C2)C=C1,O,8.5,[8.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13479,Cc1cc(C)nc([N-]S(=O)(=O)c2ccc(O)cc2)n1,O,9.16,[9.16],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13480,O=C(Nc1nn[nH]n1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,O,4.9,[4.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13481,Cc1ccc([N+](=O)[O-])cc1/C(=N/CCCN(C)C)c1ccccc1,O,8.8,[8.8],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13482,Cc1n[nH]c2cc(N)ccc12,O,4,[4.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13483,Cc1cccc(S(=O)(=O)Nc2ccc(N)cc2)c1,O,10.44,[10.44],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13484,Nc1ccc(C(=O)[O-])cc1I,O,4.34,[4.34],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13485,CCOC(=O)C(Cc1ccc(C)cc1)C(C)=O,O,11.88,[11.88],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13486,CCC(=O)C(CC(C)[NH+]1CCOCC1)(c1ccccc1)c1ccccc1,O,6.68,[6.68],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13487,CCN(CC)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,O,10.34,[10.34],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13488,c1ccc(-c2ccc3nc(CN4CCOCC4)cn3n2)cc1,O,6.25,[6.25],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13489,C[n+]1ccn(COCC=CC(C)(C)C)c1C=NO,O,8.04,[8.04],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13490,O=C(O)C1CCCC1,O,4.99,[4.99],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13491,CC(CO)NC(=O)C1CC2c3cccc4[nH]cc(c34)CC2[NH+](C)C1,O,7.4,[7.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13492,CCN1CCNc2c(C)nc(Cl)nc21,O,3.76,[3.76],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13493,OC(c1ccccc1)(c1ccncc1)c1ccncc1,O,13.07,[13.07],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13494,Cc1cc([O-])nc(-n2nc(C)cc2O)n1,O,10,[10.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13495,CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,O,11,[11.0],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13496,CSc1ccc2oc(N(N)CCC#N)nc2c1,O,2.42,[2.42],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13497,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,O,6.7,[6.7],[https://bit.ly/3wF902t],,,,,,
13498,COc1cccc(CNCCCNc2ccnc3cc(-c4cccc5ccccc45)ccc23)c1O,O,9.47,[9.47],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13499,CC(C=C(c1ccccc1)c1ccccc1)[NH+](C)C,O,9.21,[9.21],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13500,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2c(C(N)=O)cccc12,O,6.37,"[6.37, 6.37, 6.37]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13501,CC(F)(F)[C@H]1OC(N)=N[C@](C)(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)[C@H]1F,O,6.5,[6.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13502,O=[N+]([O-])C1NC=CN1,O,-0.81,[-0.81],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13503,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,O,-0.76,[-0.76],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13504,CSCC[NH2+]Cc1cc2cc(S(N)(=O)=O)sc2s1,O,6.85,[6.85],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13505,c1ccc(CN2CCC(Nc3nc(N4CCCCC4)nc4ccoc34)CC2)cc1,O,5.31,[5.31],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13506,CC(C)Cc1ccc2c(NCCCNCc3ccco3)ccnc2c1,O,9.47,[9.47],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13507,CCCCCOc1cc(N)ccc1C(=O)O,O,5.1,[5.1],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13508,COCCN(N=Nc1[nH]cnc1C(N)=O)C(C)(C)C,O,4.35,[4.35],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13509,CC1C2c3ccccc3C(c3ccccc32)C1C(=O)Nc1ccccn1,O,5.27,[5.27],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13510,CCC(=O)Nc1ccc2c(Nc3ccc(NS(C)(=O)=O)cc3)c3ccccc3nc2c1,O,7.35,[7.35],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13511,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c([N+](=O)[O-])c1,O,4.86,[4.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13512,NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1,O,4.23,[4.23],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13513,S=C(Nc1ccc(Br)cc1)c1ccccc1,O,10.42,[10.42],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13514,O=C1[C@@H]2CN3CCC[C@H]3[C@@H]2C(=O)N1Cc1ccc(F)cc1,O,7,[7.0],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
13515,C[NH+](C)c1ccc(C(F)(F)F)cc1,O,2.67,[2.67],[https://bit.ly/3wF902t],,,,,,
13516,O=c1cc(-c2ccc(O)cc2)ss1,O,8.27,[8.27],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13517,CCNC1=Nc2ccccc2C(c2ccccc2)=NC1c1cccs1,O,6.36,[6.36],[https://bit.ly/3wF902t],,,,,,
13518,O=Cc1c(O)cccc1O,O,7,[7.0],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13519,Cl.NCCCCCCCC(=O)Nc1c2ccccc2nc2ccccc12,O,4.59,[4.59],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13520,Clc1cnc2ccccc2c1,O,2.63,[2.63],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13521,CN(C)C,O,9.832,"[9.8, 9.96, 9.8, 9.8, 9.8]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t, https://bit.ly/3wF902t, Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
13522,CC(C)(C(N)=O)S(=O)(=O)NC(N)=O,O,5.15,[5.15],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13523,CC1CCN(C(=O)c2ccc3cc(OCCCN4CCCCC4)ccc3c2)CC1,O,9.86,[9.86],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13524,O=C1OC(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,O,2.4,[2.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13525,O=C1NC2(CCc3ccccc32)C(=O)N1CCCN1CCN(c2ccccc2)CC1,O,10.48,[10.48],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13526,Cc1cc(=O)n(C)cn1,O,2.1,[2.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13527,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,O,10.6,[10.6],[https://bit.ly/3wF902t],,,,,,
13528,C=CC12C[NH+](C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,O,9.79,[9.79],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13529,C(C[NH2+]CCc1nnn[nH]1)[NH2+]CCc1nnn[nH]1,O,3.11,[3.11],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13530,O=C(CN1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1,O,6.5,[6.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13531,CCN(CC)C(=S)NC(=O)c1ccc(Cl)cc1,O,8,[8.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13532,C#CC(C)C(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],O,8,[8.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13533,CC(C)CCSC(=N)c1ccccc1,O,8.43,[8.43],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13534,O=c1oc2cc(O)ccc2cc1-c1nc2cc(Cl)ccc2o1,O,6.8,[6.8],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13535,CCOC(=O)COc1ccc(Oc2ccc(O)c(CN)c2)c(Cl)c1Cl.Cl,O,8.55,[8.55],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13536,CC(N)Cc1ccc(O)c(O)c1,O,10,[10.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13537,c1ccc(CN2CCCC2)cc1,O,9.205,"[9.51, 8.9]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t]",,,,,,
13538,O=C(c1ccccc1Cl)c1ccc2n1CCC2C(=O)[O-],O,4.33,[4.33],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13539,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,O,11.16,[11.16],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13540,CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,O,9.6,[9.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13541,C#CC[NH2+]CCc1ccccc1,O,7.47,[7.47],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13542,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)n(-c2ccccc2)n1,O,5.69,[5.69],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13543,c1cc(C2CCC3(CC2)CCC2(OC3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1,O,6.82,[6.82],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13544,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncnc2)c1,O,3.7,[3.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13545,CN1CC(N)=NC(C)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C1=O,O,7.8,[7.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13546,CC(C)(C)c1ccc(CN(CC[NH+]2CCCCC2)c2ccccc2)cc1,O,9.7,[9.7],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13547,Cc1cc2ncn(CC(=O)c3cc(S(N)(=O)=O)c(Cl)cc3Sc3ccccc3)c2cc1C,O,8.8,[8.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13548,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,O,6.49,[6.49],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13549,O=C(CCC[NH+]1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,O,7.9,[7.9],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13550,Cc1ncccc1-c1nc2cn(-c3ccc(C#N)cc3)nc2c(=O)n1CC1CCCN(C2COC2)C1,O,6.4,[6.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13551,Cc1cc([O-])ncn1,O,9,[9.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13552,O=[N+]([O-])c1ccc(F)cc1[O-],O,6.3,[6.3],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13553,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,O,2.5,[2.5],[https://bit.ly/3wF902t],,,,,,
13554,CC(C(=O)[O-])S(=O)(=O)[O-],O,4.22,[4.22],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13555,CC(=O)c1cccc(C(=O)[O-])c1,O,3.86,[3.86],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13556,COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@@H](OC)C3)c2c1,O,7,[7.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13557,O=C1C=C([O-])C([N+](=O)[O-])O1,O,1.68,[1.68],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13558,CC(C)(C)c1cccc(O)c1,O,10.12,[10.12],[https://bit.ly/3wF902t],,,,,,
13559,O=c1cc(-c2ccccc2)nc2cccc(O)n12,O,12,[12.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13561,CCOC(C(=O)C[NH+]1CCCC1)(c1ccccc1)c1ccccc1,O,7.9,[7.9],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13562,F[C@@H]1CNCC[C@H]1Cc1ccccc1,O,8.8,[8.8],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
13563,CC(C)c1[nH+]cc([N+](=O)[O-])n1C,O,2.73,[2.73],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13564,CCN(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c3csc(N)n3)[C@H]2SC1)C(=O)c1cc(O)c(O)cc1F,O,8.25,[8.25],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13565,Nc1cccc(-c2cccc(N)n2)n1,O,6.7,[6.7],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13566,Cc1cc([N+](=O)[O-])ccc1N,O,1.505,"[1.97, 1.04]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13567,Nc1cc(I)c2ccccc2c1,O,3.41,[3.41],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13568,Cc1ccccc1SCC(=O)O,O,3.46,[3.46],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13569,O=C1CCCC(=O)N1,O,11.43,[11.43],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13570,C[n+]1c2ccccc2c(Nc2ccc(NS(=O)(=O)CCCCNC(=N)N)cc2)c2ccccc21.[Br-],O,6.69,[6.69],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13571,N=C(c1ccccc1)c1ccc(O)cc1,O,6.45,"[6.45, 6.45]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13572,Cn1nnc(CC(=O)O)n1,O,3.44,[3.44],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13573,Nc1cccc2c1C(=O)C(NS(=O)(=O)c1ccccc1)=C(Nc1ccccc1)C2=O,O,8.2,[8.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13574,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,O,2.875,"[2.55, 3.2]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t]",,,,,,
13575,Cn1ncc2c(N)ncnc21,O,4.3,"[4.32, 4.28]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13576,NCC1C2c3ccccc3C(c3ccccc32)C1CN,O,10.14,[10.14],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
13577,CC(CC(C#N)(c1ccccc1)c1ccccc1)N1CCOCC1,O,6.1,[6.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13578,C[NH2+]C(C)C(O)c1ccc(NS(C)(=O)=O)cc1,O,8.26,[8.26],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13579,O=[N+]([O-])Nc1ccccc1,O,4.74,[4.74],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13580,CCOP(=O)(CN1CCOCC1)OCC,O,4,[4.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
13581,CCCOc1ccccc1C(=O)[O-],O,4.24,[4.24],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13582,Cc1nc(N)c2nccnc2n1,O,4.28,[4.28],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
13583,Oc1ccc(Oc2ccccc2)cc1,O,9.6,[9.6],[https://bit.ly/3wF902t],,,,,,
