,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
2689,Cc1c(CC#N)n2cccc(OCc3ccccc3)c2[nH+:19]1,O,0,0,5.6,[5.6],"[""['hunt_et_al']""]"
2690,CC(=O)O,O,64-19-7,acetic acid,4.755,"[4.75, 4.76]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
2691,Clc1cc(Cl)c(Cl)c([OH:7])c1Cl,O,0,0,5.14,[5.14],"[""['hunt_et_al']""]"
2692,CC[NH2+]CC,CS(=O)C,-,diethylazanium,10.5,[10.5],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2693,Cl,CS(=O)C,7647-01-0,chlorane,-2.0,"[-2.0, -2.0]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
2694,O=S(=O)(O)C(F)(F)F,O,1493-13-6,trifluoromethanesulfonic acid,-14.7,[-14.7],"[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf']""]"
2695,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+:24](C)C)C(=O)[C@@H]2OC(C)=O)cc1,O,0,0,8.08,[8.08],"[""['hunt_et_al']""]"
2696,C[NH+:5](C)CCO,O,0,0,9.0,[9.0],"[""['hunt_et_al']""]"
2697,O=[N+]([O-])c1cc([NH3+:11])cc2ccccc12,O,0,0,2.43,[2.43],"[""['hunt_et_al']""]"
2698,c1ccc2c(/N=N/c3nccs3)c([OH:17])ccc2c1,O,0,0,8.94,[8.94],"[""['hunt_et_al']""]"
2699,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)[NH3+:18])C(=O)N2[C@H]1C(=O)[O-],O,0,0,7.7,[7.7],"[""['hunt_et_al']""]"
2700,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,C1CCOC1,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium,25.3,[25.3],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2701,CC(C)C[NH3+],CC#N,58471-06-0,2-methylpropylazanium,17.92,[17.92],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2702,COc1cc([N+](=O)[O-])cc([NH3+:8])c1,O,0,0,2.11,[2.11],"[""['hunt_et_al']""]"
2703,CC(C)[C@H]([C@H](O)c1ccc(O)c(O)c1)[NH2+:15]C(C)C,O,0,0,8.85,[8.85],"[""['hunt_et_al']""]"
2704,C[C@@H]1CCC[C@@H]([NH3+:8])C1,O,0,0,10.56,[10.56],"[""['hunt_et_al']""]"
2705,Cc1c(O)cccc1[OH:8],O,0,0,10.05,[10.05],"[""['hunt_et_al']""]"
2706,COc1ccc(C(=O)N[OH:11])cc1,O,0,0,9.0,[9.0],"[""['hunt_et_al']""]"
2707,CC(=O)c1cc([NH3+:9])ccc1[N+](=O)[O-],O,0,0,-0.14,[-0.14],"[""['hunt_et_al']""]"
2708,c1ccc2nc(-c3ccc4ccccc4[nH+]3)ccc2c1,O,,,3.66,"[3.66, 3.66]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2709,Cc1ccccc1N(C(=O)Cc1ccccc1)[OH:18],O,0,0,8.46,[8.46],"[""['hunt_et_al']""]"
2710,Cc1ccc(S(=O)(=O)[NH:28]C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,O,0,0,3.2,[3.2],"[""['hunt_et_al']""]"
2711,C[NH2+:4]CC(F)(F)F,O,0,0,6.1,[6.1],"[""['hunt_et_al']""]"
2712,N#CC1=CCC(C#N)=C1C#N,CC#N,-,"cyclopenta-1,3-diene-1,2,3-tricarbonitrile",1.44,[1.44],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2713,CC(C)C[NH2+:9]CC(C)C,O,0,0,10.91,[10.91],"[""['hunt_et_al']""]"
2714,COc1ccc(CC[N@H+:29](C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,O,0,0,8.6,[8.6],"[""['hunt_et_al']""]"
2715,C[NH2+:20]CCCN1c2ccccc2CCc2ccccc21,O,0,0,10.23,"[10.3, 10.16]","[""['hunt_et_al']"", ""['hunt_et_al']""]"
2716,CCCC[NH2+]CCCC,CC#N,-,dibutylazanium,18.31,[18.31],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2717,O=C(c1ccc(O)c(O)c1)[OH:11],O,0,0,4.48,[4.48],"[""['hunt_et_al']""]"
2718,OCC[SH:4],O,0,0,9.72,[9.72],"[""['hunt_et_al']""]"
2719,c1ccc2cc3c([NH3+:15])cccc3cc2c1,O,0,0,4.1,[4.1],"[""['hunt_et_al']""]"
2720,O=C([C@H]1CCCN1)[OH:8],O,0,0,1.99,[1.99],"[""['hunt_et_al']""]"
2721,CC[NH+](C)C,C1CCOC1,-,ethyl(dimethyl)azanium,12.6,[12.6],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2722,CCCC[N@H+:19]1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,O,0,0,8.16,[8.16],"[""['hunt_et_al']""]"
2723,Ic1cccc([OH:7])c1,O,0,0,8.88,[8.88],"[""['hunt_et_al']""]"
2724,C1CC2CCC1C[NH2+:9]C2,O,0,0,10.57,[10.57],"[""['hunt_et_al']""]"
2725,c1ccc([C@@H]2C[C@H]2[NH3+:10])cc1,O,0,0,8.27,[8.27],"[""['hunt_et_al']""]"
2726,NS(=O)(=O)c1ccc(C(F)(F)F)cc1,CC#N,830-43-3,4-(trifluoromethyl)benzenesulfonamide,25.24,[25.24],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
2727,O=C(O)C(O)C(=O)O,CC#N,80-69-3,2-hydroxypropanedioic acid,13.8,[13.8],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2728,C[NH+:11](C)C[C@H](O)c1ccc(O)c(O)c1,O,0,0,9.257,[9.257],"[""['hunt_et_al']""]"
2729,N#Cc1c[nH]c2ccccc12,CC#N,5457-28-3,1H-indole-3-carbonitrile,26.01,"[26.01, 26.01]","[""['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
2730,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[NH:26]C(=O)NC3CCCCC3)cc2)cn1,O,0,0,5.25,[5.25],"[""['hunt_et_al']""]"
2731,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc([OH:44])c(Cl)c2)n1,O,0,0,7.17,[7.17],"[""['hunt_et_al']""]"
2732,C=C(CC)C(=O)c1ccc(OCC(=O)[OH:16])c(Cl)c1Cl,O,0,0,3.1,[3.1],"[""['hunt_et_al']""]"
2733,N#CC1c2ccccc2-c2ccccc21,C(CCl)Cl,1529-40-4,9H-fluorene-9-carbonitrile,55.9,"[55.9, 55.9]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
2734,CCC(=O)N[C@@H](c1cccs1)c1cc(Cl)c2cccnc2c1[OH:21],O,0,0,8.19,[8.19],"[""['hunt_et_al']""]"
2735,C1C[NH+]2CCC1CC2,CC#N,-,1-azoniabicyclo[2.2.2]octane,19.7,[19.7],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2736,CCOc1ccc(C[NH+:14](CCO)CCO)cc1,O,0,0,7.6,[7.6],"[""['hunt_et_al']""]"
2737,C[NH+:5](C)CC(F)(F)F,O,0,0,4.8,[4.8],"[""['hunt_et_al']""]"
2738,Brc1ccc([NH3+:7])cc1,O,0,0,3.86,[3.86],"[""['hunt_et_al']""]"
2739,O=C([O-])C1CCC([NH3+:8])CC1,O,0,0,10.5,[10.5],"[""['hunt_et_al']""]"
2740,O=C(c1cc(Cl)cc(Cl)c1)[OH:9],O,0,0,3.54,[3.54],"[""['hunt_et_al']""]"
2741,C1CN=C2NCCC[NH+]2C1,O,-,"2,3,4,5,6,7,8,9-octahydropyrimido[1,2-a]pyrimidin-5-ium",15.2,[15.2],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2742,O=C(O)c1ccc(Cl)cc1Cl,CC#N,50-84-0,"2,4-dichlorobenzoic acid",18.4,[18.4],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2743,CCn1cc(C(=O)[OH:22])c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21,O,0,0,6.3,[6.3],"[""['hunt_et_al']""]"
2744,O=C(c1cc([N+](=O)[O-])ccc1Cl)[OH:12],O,0,0,2.17,[2.17],"[""['hunt_et_al']""]"
2745,FC(F)C(F)(F)Oc1cccc([NH3+:9])c1,O,0,0,3.38,[3.38],"[""['hunt_et_al']""]"
2746,c1ccc([NH3+:10])c(C2CC2)c1,O,0,0,4.3,[4.3],"[""['hunt_et_al']""]"
2747,O=[N+]([O-])c1cccc([OH:13])c1[N+](=O)[O-],O,0,0,4.96,[4.96],"[""['hunt_et_al']""]"
2748,CCCSc1ccc2c(c1)[nH]c([N-]C(=O)OC)[nH+:13]2,O,0,0,10.5,[10.5],"[""['hunt_et_al']""]"
2749,c1c[nH+]ccn1,CC#N,-,pyrazin-1-ium,7.74,"[7.74, 7.74]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2750,c1cc([NH3+:12])ccc1C1CCCC1,O,0,0,5.1,[5.1],"[""['hunt_et_al']""]"
2751,O=C(COc1ccc(Cl)cc1Cl)[OH:10],O,0,0,2.64,[2.64],"[""['hunt_et_al']""]"
2752,CCc1cnc(NC)[nH+:8]c1,O,0,0,4.29,[4.29],"[""['hunt_et_al']""]"
2753,N#CC(C#N)c1c(F)c(F)c(F)c(F)c1F,CC#N,719-38-0,"2-(2,3,4,5,6-pentafluorophenyl)propanedinitrile",13.01,"[13.01, 13.01, 13.01, 13.01]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
2754,CC[N@H+:9]1CCCC=C1C,O,0,0,11.53,[11.53],"[""['hunt_et_al']""]"
2755,Cc1ccc([N+](=O)[O-])c([OH:11])c1,O,0,0,7.25,[7.25],"[""['hunt_et_al']""]"
2756,CC[N@H+:8]1CCC=C1C,O,0,0,11.84,[11.84],"[""['hunt_et_al']""]"
2757,O=C(c1cccc(Oc2ccccc2)c1)[OH:15],O,0,0,3.95,[3.95],"[""['hunt_et_al']""]"
2758,O=C(c1c(Br)cccc1[N+](=O)[O-])[OH:12],O,0,0,1.37,[1.37],"[""['hunt_et_al']""]"
2759,CC(CC([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CC#N,-,"1,1,3,3-tetranitrobutane",8.0,[8.0],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2760,N[NH3+],CC#N,18500-32-8,aminoazanium,16.61,[16.61],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2761,CCc1cccc([OH:9])c1,O,0,0,9.9,[9.9],"[""['hunt_et_al']""]"
2762,O=[N+]([O-])c1ccc([OH:13])c([N+](=O)[O-])c1,O,0,0,4.073,[4.073],"[""['hunt_et_al']""]"
2763,O=C(Cc1cccc(Cl)c1)[OH:10],O,0,0,4.14,[4.14],"[""['hunt_et_al']""]"
2764,Clc1cc([NH3+:11])c2ccccc2c1,O,0,0,2.69,[2.69],"[""['hunt_et_al']""]"
2765,Oc1ccc(CC[NH3+:9])cc1O,O,0,0,8.87,[8.87],"[""['hunt_et_al']""]"
2766,c1cc[nH+]nc1,C1CCOC1,-,pyridazin-1-ium,3.7,[3.7],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2767,Clc1cccc(Cl)c1NC1=[NH+:10]CCN1,O,0,0,8.05,[8.05],"[""['hunt_et_al']""]"
2768,COc1cc(CC(=O)[OH:12])ccc1O,O,0,0,4.41,[4.41],"[""['hunt_et_al']""]"
2769,C[NH+:11](C)Cc1cccc([N+](=O)[O-])c1,O,0,0,8.2,[8.2],"[""['hunt_et_al']""]"
2770,N#Cc1ccccc1C(=O)[OH:11],O,0,0,3.14,[3.14],"[""['hunt_et_al']""]"
2771,COC(=O)C(CCC(=O)[OH:21])(c1ccccc1)c1ccccc1,O,0,0,4.66,[4.66],"[""['hunt_et_al']""]"
2772,c1ccc([NH2+]c2ccccc2)cc1,CS(=O)C,61236-17-7,diphenylazanium,-1.1,[-1.1],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2773,O=C(O)COc1ccc(Cl)cc1C[NH+:21]1CCC(S(=O)(=O)c2ccccc2)CC1,O,0,0,7.8,[7.8],"[""['hunt_et_al']""]"
2774,N#CCC[SH:5],O,0,0,8.6,[8.6],"[""['hunt_et_al']""]"
2775,C[C@H](CC(C#N)(c1ccccc1)c1ccccc1)[NH+:24]1CCCCC1,O,0,0,7.68,[7.68],"[""['hunt_et_al']""]"
2776,NS(=O)(=O)c1ccccc1,O,98-10-2,benzenesulfonamide,10.1,[10.1],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
2777,O=C(Cc1ccc(F)cc1)[OH:10],O,0,0,4.25,[4.25],"[""['hunt_et_al']""]"
2778,CCCC[NH+](CCCC)CCCC,C1CCOC1,-,tributylazanium,12.7,[12.7],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2779,CC(C)[C@@H](C(=O)[O-])[NH3+:6],O,0,0,9.74,[9.74],"[""['hunt_et_al']""]"
2780,CC(C)c1cccc(C(C)C)c1[OH:13],O,0,0,11.1,[11.1],"[""['hunt_et_al']""]"
2781,COc1cc[nH+:21]c(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,O,0,0,7.1,[7.1],"[""['hunt_et_al']""]"
2782,C[C@@H](C=C(c1cccs1)c1cccs1)[N@H+:19]1CCCC[C@H]1C,O,0,0,7.41,[7.41],"[""['hunt_et_al']""]"
2783,CC1(C)CCC[NH2+:8]C1,O,0,0,10.38,[10.38],"[""['hunt_et_al']""]"
2784,Cc1ccccc1C[NH+:13](CCO)CCO,O,0,0,7.1,[7.1],"[""['hunt_et_al']""]"
2785,O=C(CCCCl)[OH:6],O,0,0,4.5,[4.5],"[""['hunt_et_al']""]"
2786,Nc1cnccc1[OH:8],O,0,0,11.38,[11.38],"[""['hunt_et_al']""]"
2787,COc1ccc([C@@H](O)C[NH3+:11])cc1OC,O,0,0,9.18,[9.18],"[""['hunt_et_al']""]"
2788,N#CC(C#N)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CS(=O)C,55852-24-9,"2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]propanedinitrile",1.7,[1.7],"[""['a_unified_view_to_bronsted_acidity_scales.pdf']""]"
2789,CC[NH+:17](CC)CCNC(=O)c1ccc([N-]S(C)(=O)=O)cc1,O,0,0,9.35,[9.35],"[""['hunt_et_al']""]"
2790,O=C(NS(=O)(=O)C(F)(F)F)c1ccc(Cl)cc1,CC#N,39062-99-2,4-chloro-N-(trifluoromethylsulfonyl)benzamide,10.36,[10.36],"[""['leito_acids']""]"
2791,Cc1cc([OH:7])no1,O,0,0,5.92,[5.92],"[""['hunt_et_al']""]"
2792,C/C(=C\C(=O)[OH:15])c1cc(C)cc(C)c1O,O,0,0,4.54,[4.54],"[""['hunt_et_al']""]"
2793,CC[NH3+],C1CCOC1,16999-99-8,ethylazanium,13.5,[13.5],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2794,C[NH+:18](C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,O,0,0,9.26,[9.26],"[""['hunt_et_al']""]"
2795,Cc1c([NH3+:15])ccc2c1-c1ccccc1C2,O,0,0,4.83,[4.83],"[""['hunt_et_al']""]"
2796,CC[NH+:16](CC)Cc1ccc2cccnc2c1O,O,0,0,11.3,[11.3],"[""['hunt_et_al']""]"
2797,COc1ccccc1C[NH3+:9],O,0,0,9.7,[9.7],"[""['hunt_et_al']""]"
2798,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OCCC[NH2+:26]CCCO)ccc1Cl,O,0,0,9.5,[9.5],"[""['hunt_et_al']""]"
2799,Clc1ccc(-c2ccccc2)cc1[OH:13],O,0,0,8.07,[8.07],"[""['hunt_et_al']""]"
2800,N#CC(C#N)c1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,CC#N,1018330-44-3,"2-[2,3,4,5,6-pentakis(trifluoromethyl)phenyl]propanedinitrile",8.86,"[8.86, 8.86, 8.86, 8.86]","[""['DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2801,O=C(NCC(=O)[OH:13])c1ccccc1,O,0,0,3.62,[3.62],"[""['hunt_et_al']""]"
2802,C[NH2+:9]Cc1ccc([N+](=O)[O-])cc1,O,0,0,8.63,[8.63],"[""['hunt_et_al']""]"
2803,Nc1cccc2cccc([NH3+])c12,C1CCOC1,-,(8-aminonaphthalen-1-yl)azanium,5.4,[5.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2804,CC[NH+](CC)CC,C1CCOC1,17440-81-2,triethylazanium,12.5,"[12.5, 12.5]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2805,FC(F)(F)Oc1ccccc1[NH3+:8],O,0,0,2.44,[2.44],"[""['hunt_et_al']""]"
2806,Cc1ccc([NH2+:10]C)c(C)c1,O,0,0,4.56,[4.56],"[""['hunt_et_al']""]"
2807,Cc1ccccc1/C=C/c1ccc([NH+:18](C)C)cc1,O,0,0,4.67,[4.67],"[""['hunt_et_al']""]"
2808,Clc1ccc([NH3+:7])cc1Cl,O,0,0,2.968,[2.968],"[""['hunt_et_al']""]"
2809,N#CC(c1c(F)c(F)nc(F)c1F)c1c(F)c(F)nc(F)c1F,C(CCl)Cl,64934-72-1,"2,2-bis(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",47.3,[47.3],"[""['leito_acids']""]"
2810,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CS(=O)C,87-86-5,"2,3,4,5,6-pentachlorophenol",7.18,[7.18],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
2811,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[OH:22],O,0,0,3.32,[3.32],"[""['hunt_et_al']""]"
2812,O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)[OH:19],O,0,0,0.268,[0.268],"[""['hunt_et_al']""]"
2813,c1cc([OH:11])c2cccnc2c1,O,0,0,8.56,[8.56],"[""['hunt_et_al']""]"
2814,CN(C)CCNc1cc(-c2ccc(N3CC[NH+:27](C)CC3)cc2)nc2ccccc12,O,0,0,8.94,[8.94],"[""['hunt_et_al']""]"
2815,O=C(C1(O)c2ccccc2-c2ccccc21)[OH:16],O,0,0,1.09,[1.09],"[""['hunt_et_al']""]"
2816,CCSc1ccc([NH3+:9])cc1,O,0,0,4.0,[4.0],"[""['hunt_et_al']""]"
2817,C[NH+:10](C)Cc1ccccc1,O,0,0,8.91,[8.91],"[""['hunt_et_al']""]"
2818,O=C(CCc1ccccc1[N+](=O)[O-])[OH:14],O,0,0,4.504,[4.504],"[""['hunt_et_al']""]"
2819,C[N@@H+:18]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,O,0,0,8.92,[8.92],"[""['hunt_et_al']""]"
2820,c1ccc2nc(-c3ccc4ccccc4[nH+]3)ccc2c1,CC#N,,,11.28,"[11.28, 11.28]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2821,CN(C)[C@@H]1CCc2c(ccc(O)c2[OH:15])C1,O,0,0,8.85,[8.85],"[""['hunt_et_al']""]"
2822,C[NH+:10](C)c1cccc(C(F)(F)F)c1,O,0,0,3.27,[3.27],"[""['hunt_et_al']""]"
2823,C/C(=N\O)C(C)(C)CCCCC[NH3+:12],O,0,0,9.12,[9.12],"[""['hunt_et_al']""]"
2824,Cc1ccc([NH3+:9])c(C)c1,O,0,0,4.89,[4.89],"[""['hunt_et_al']""]"
2825,CCC(=O)C(C[C@H](C)[NH+:25]1CCCCC1)(c1ccccc1)c1ccccc1,O,0,0,8.53,[8.53],"[""['hunt_et_al']""]"
2826,CC[NH+:7](CC)CC,O,0,0,10.9,[10.9],"[""['hunt_et_al']""]"
2827,O=C(O)c1ccc(C(=O)O)cc1,CC#N,100-21-0,terephthalic acid,19.7,[19.7],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2828,Cc1cc(C[N@H+:26]2Cc3ccccc3[C@@H]2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)[O-],O,0,0,5.6,[5.6],"[""['hunt_et_al']""]"
2829,C[NH+:13](C)c1cccc2ccccc12,O,0,0,4.83,[4.83],"[""['hunt_et_al']""]"
2830,COC(=O)[C@H]1C[C@H](C)[NH2+:13][C@@H]2CCCC[C@H]12,O,0,0,9.9,[9.9],"[""['hunt_et_al']""]"
2831,CCNP(=N[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(=O)C,-,[[bis(dimethylamino)-(ethylamino)-_5-phosphanylidene]amino]-tris(dimethylamino)phosphanium,21.15,[21.15],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2832,c1ccc2n[nH+]ccc2c1,O,,cinnolin-2-ium,2.29,[2.29],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
2833,CCCC[C@@H](CC)CO[NH+:15](C[C@@H](C)O)C[C@@H](C)O,O,0,0,7.7,[7.7],"[""['hunt_et_al']""]"
2834,O=C([O-])C(=O)[OH:5],O,0,0,4.29,[4.29],"[""['hunt_et_al']""]"
2835,Clc1cc(Cl)c([NH3+:7])c(Cl)c1,O,0,0,-0.03,[-0.03],"[""['hunt_et_al']""]"
2836,c1cc[nH+]cc1,C1CCOC1,16969-45-2,pyridin-1-ium,5.5,[5.5],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2837,C1CCN2C[C@@H]3C[C@@H](C[N@H+:17]4CCCC[C@H]34)[C@@H]2C1,O,0,0,12.0,[12.0],"[""['hunt_et_al']""]"
2838,CC(C)(C)c1ccc([OH:15])c(C(C)(C)C)c1,O,0,0,11.72,[11.72],"[""['hunt_et_al']""]"
2839,O=C(O)C[SH:5],O,0,0,10.4,[10.4],"[""['hunt_et_al']""]"
2840,O=C(N1CCC([NH+]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)[NH:26]S(=O)(=O)c1ccc(F)cc1,O,0,0,3.0,[3.0],"[""['hunt_et_al']""]"
2841,C[NH+:11](C)Cc1ccc([N+](=O)[O-])cc1,O,0,0,8.14,[8.14],"[""['hunt_et_al']""]"
2842,Clc1cc(C2CCCCC2)ccc1[OH:13],O,0,0,8.66,[8.66],"[""['hunt_et_al']""]"
2843,O=C(Cc1ccc(O)c(O)c1)[OH:12],O,0,0,4.25,[4.25],"[""['hunt_et_al']""]"
2844,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(Cl)c(Cl)cc(Cl)c1[OH:14],O,0,0,10.1,[10.1],"[""['hunt_et_al']""]"
2845,CCOC(=O)C(C#N)c1c(F)c(F)c(F)c(F)c1F,O,2340-87-6,"ethyl 2-cyano-2-(2,3,4,5,6-pentafluorophenyl)acetate",5.89,[5.89],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
2846,c1ccc(-c2cccc([OH:13])c2)cc1,O,0,0,9.64,[9.64],"[""['hunt_et_al']""]"
2847,CSc1ncnc([OH:9])c1C,O,0,0,9.12,[9.12],"[""['hunt_et_al']""]"
2848,Fc1ccc([OH:7])cc1,O,0,0,9.95,[9.95],"[""['hunt_et_al']""]"
2849,N#Cc1c(-c2ccccc2)nc(N)nc1[OH:16],O,0,0,6.52,[6.52],"[""['hunt_et_al']""]"
2850,CN(C)CCC[NH+](C)C,CC#N,-,3-(dimethylamino)propyl-dimethylazanium,19.28,[19.28],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2851,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)[OH:12],O,0,0,3.78,[3.78],"[""['hunt_et_al']""]"
2852,ClCC[NH+:13](CCCl)c1cc(Cl)cc2c1OCOC2,O,0,0,6.9,[6.9],"[""['hunt_et_al']""]"
2853,c1ccc([OH:7])nc1,O,0,0,11.62,[11.62],"[""['hunt_et_al']""]"
2854,O=C(c1c(Br)cccc1CO)[OH:10],O,0,0,2.25,[2.25],"[""['hunt_et_al']""]"
2855,COC(=O)C1=CCC[N@H+:9](C)C1,O,0,0,7.64,[7.64],"[""['hunt_et_al']""]"
2856,CC(C)(C)[N@H+:12](C)c1ccccc1,O,0,0,7.39,[7.39],"[""['hunt_et_al']""]"
2857,CCC(CC)[NH3+:6],O,0,0,10.42,[10.42],"[""['hunt_et_al']""]"
2858,CN(C)S(=O)(=O)[NH:24]C(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,O,0,0,5.5,[5.5],"[""['hunt_et_al']""]"
2859,C[C@@H]([C@@H](O)c1ccccc1)[NH2+:11]C,O,0,0,9.86,[9.86],"[""['hunt_et_al']""]"
2860,O=C(O)CC(=O)O,CC#N,141-82-2,propanedioic acid,15.3,[15.3],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
2861,c1cnc2cc([OH:11])ccc2c1,O,0,0,8.87,[8.87],"[""['hunt_et_al']""]"
2862,C[NH+:10](C)Cc1cccnc1,O,0,0,8.0,[8.0],"[""['hunt_et_al']""]"
2863,CC(=O)c1ccccc1C(=O)[OH:12],O,0,0,4.13,[4.13],"[""['hunt_et_al']""]"
2864,CCCCCC[NH2+:13]c1ccccc1,O,0,0,5.42,[5.42],"[""['hunt_et_al']""]"
2865,CC(C)(C)c1ccc([C@@H](O)CCC[NH+:33]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,O,0,0,8.8,[8.8],"[""['hunt_et_al']""]"
2866,CC(=C(C#N)C#N)C(C#N)C#N,C(CCl)Cl,24943-63-3,"2-methylprop-1-ene-1,1,3,3-tetracarbonitrile",36.4,[36.4],"[""['leito_acids']""]"
2867,COc1cccc[nH+]1,CC#N,,2-methoxypyridin-1-ium,9.93,[9.93],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
2868,C=C1CC[NH+:8](C)CC1,O,0,0,9.03,[9.03],"[""['hunt_et_al']""]"
2869,CCC[NH2+]CCC,CS(=O)C,-,dipropylazanium,10.3,[10.3],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
2870,N#CC(C#N)=C(c1cccc(C(F)(F)F)c1)C(C#N)C#N,C(CCl)Cl,2226486-85-5�,,34.3,[34.3],"[""['leito_acids']""]"
